feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,target
1.5816,29.0247,-0.7864,-0.224,-0.7672,-0.7863,0.7581,12848,177.6254,2184,-0.8332,0.4146,0.2,0.0408,33.4151,135
-2.0989,-4.3526,0.0776,-0.6977,-0.3965,0.0777,0.0841,16808,190.573,83,-0.0964,0.0702,0.0119,0.8008,48.0205,4
-1.3689,7.1158,0.0978,-1.0438,-1.4451,0.0979,0.5854,10836,175.1197,243,0.1047,0.7478,0.0366,0.4381,84.1951,11
-0.451,43.4232,0.4705,1.7839,-0.5367,0.4706,0.8474,15106,181.0404,410,-0.9383,0.1202,0.0602,-0.4163,89.161,12
-0.7764,28.5143,-0.1403,0.8155,-0.0217,-0.1402,-0.6034,15023,178.5931,1358,-0.4371,-1.1397,0.1429,1.9475,67.4808,83
0.7819,29.1877,1.0638,-1.7229,-0.0818,1.0639,-0.036,9486,154.4091,680,-1.1214,0.5581,0.093,0.858,99.7557,34
-1.3616,-22.1418,1.5219,1.0054,1.3098,1.522,1.1868,8745,155.8864,1176,-1.231,0.8705,0.1212,-0.2111,59.776,62
-2.9674,35.233,0.3322,-0.364,1.2171,0.3323,1.9203,9322,159.887,637,0.0015,-1.819,0.0761,-0.8406,86.2761,30
-0.0414,-12.8985,0.6911,1.86,2.1753,0.6912,0.181,10816,168.2966,801,-0.8351,-0.3793,0.1,0.4728,94.6013,42
-0.5175,20.1325,0.009,0.4513,0.3571,0.0091,-0.5288,14842,181.7978,1152,-2.4113,1.2729,0.1237,0.1379,86.2761,50
0.0147,34.2992,0.481,-0.9735,0.8186,0.4811,-0.5187,12848,178.6298,3451,-0.337,0.8366,0.2417,-0.1415,-25.64,219
2.3028,20.8738,2.0558,1.4978,0.2718,2.0559,1.5785,14720,184.4307,1824,-1.1736,0.7888,0.1959,0.0535,42.6577,105
0.7012,30.1566,0.4166,0.3252,-0.2304,0.4167,-0.0995,17391,183.4668,1365,-0.2986,0.9958,0.163,-1.1446,74.5113,64
-0.3652,-26.7175,1.313,-0.4283,1.2702,1.3131,1.555,10880,169.6519,1680,0.2602,-1.4797,0.1509,1.3039,23.8387,92
-0.687,-13.9416,0.535,-1.2842,2.2551,0.5351,0.1331,9381,156.9107,316,-0.2238,0.0093,0.05,-0.2703,98.56,14
-0.1221,49.6921,-1.1158,-0.1742,1.2656,-1.1157,-0.8443,11970,170.6111,1530,-0.9539,-1.7226,0.1868,-0.6229,51.474,82
0.4164,39.0038,-0.432,-0.9376,-0.3634,-0.4319,-1.2106,13200,177.6108,1890,-0.2162,-1.4168,0.1698,-1.1288,51.474,106
-1.3792,10.3955,-0.675,-0.8152,-0.5382,-0.6749,0.2026,17949,194.0191,1536,0.4825,-1.1264,0.1649,-0.1761,42.6577,96
-0.4171,48.8072,0.4599,-1.21,0.4691,0.46,-1.2155,10168,165.4175,930,-0.2917,-0.6922,0.1064,0.7104,90.8927,45
-1.4936,32.3,-0.4895,-0.9121,0.9778,-0.4894,-2.068,14924,180.2644,2592,-0.802,-0.0765,0.2202,-0.4773,33.4151,158
-1.8569,8.1075,-0.4615,-0.7004,-1.2213,-0.4614,-1.0231,12240,171.8181,267,-0.3947,-0.7392,0.0333,2.3417,64.4897,16
-0.7271,-7.2612,-0.7195,-0.2792,-0.4391,-0.7194,-1.0478,9164,156.9307,85,1.033,0.6984,0.0116,-0.5353,0.0888,4
1.1056,25.8692,0.0163,-0.6501,-1.0271,0.0164,-1.319,18721,195.196,80,-0.3042,0.1957,0.0123,1.5294,48.0205,3
0.2446,17.5057,1.0414,1.4729,1.4138,1.0415,1.8626,10988,162.1955,435,0.3486,-1.2994,0.0568,-1.4496,78.3879,10
0.8779,44.3671,0.4067,0.2795,-2.1857,0.4068,-1.7458,8216,155.7625,2781,-0.1342,0.6421,0.2596,-1.9489,14.0241,157
-0.4984,31.368,0.2933,1.7459,0.2012,0.2934,-0.7341,15006,184.3474,2266,0.4356,1.2078,0.2115,3.385,33.4151,143
-0.2904,12.972,0.7411,0.3547,0.5121,0.7412,1.5644,13851,168.735,3132,-0.6159,-0.7626,0.2661,0.7247,-35.1615,243
-0.9602,32.7395,-0.2753,-1.3539,0.3361,-0.2752,1.4262,12600,173.9563,3277,0.1207,-0.5221,0.2544,-1.0012,14.0241,198
0.0261,1.9742,1.1737,0.5497,-1.1852,1.1738,0.4834,12876,175.376,1183,1.0942,-0.3662,0.1413,1.3593,51.474,38
-1.7285,6.9048,1.4373,1.5206,1.4144,1.4374,-0.9828,17484,186.5556,1584,0.3493,-0.0311,0.16,-0.0396,51.474,95
-0.7036,16.3359,1.7397,1.9584,0.9507,1.7398,0.5302,15106,180.7923,430,-1.2575,-0.7896,0.0575,-1.8492,99.9547,20
0.4874,23.576,0.4048,-0.5047,-0.5846,0.4049,-0.9754,16835,186.0069,1568,0.2379,0.6789,0.1616,0.4185,51.474,99
-0.5271,42.7981,-1.2414,-0.189,0.1982,-1.2413,-0.7122,13050,172.0256,2450,-0.5124,0.7689,0.2525,-2.221,14.0241,134
-1.4982,20.0486,-1.0528,-0.5273,-0.1802,-1.0527,1.2599,14141,178.5603,552,0.1207,-0.173,0.0645,1.3387,93.2361,27
0.7574,3.7647,0.0507,0.1156,-1.7673,0.0508,0.9192,11661,168.1702,1455,0.017,0.6856,0.1531,-2.0366,33.4151,80
-0.1491,6.2721,-0.4064,-0.0189,0.4199,-0.4063,-0.9112,11115,170.109,1615,1.1307,0.2419,0.1771,0.3692,33.4151,91
0.2721,7.1423,-1.7631,-2.0094,1.3883,-1.763,0.1612,13604,179.9453,2448,0.3068,-0.2027,0.233,0.3876,4.0693,134
2.0132,3.902,-0.7405,-0.0582,-0.2836,-0.7404,-1.811,13728,175.1838,1428,-0.5199,1.4807,0.1359,1.1172,59.776,74
0.8249,18.6812,-1.2446,0.6,-0.7506,-1.2445,2.2283,17017,184.8169,2862,0.4723,-0.5008,0.2523,0.4583,-15.8623,208
-0.6201,14.9748,0.6612,-0.0648,-1.1788,0.6613,-1.4493,13806,176.1749,84,0.4656,-0.4373,0.0118,-0.4134,-38.86,3
0.2229,20.6413,0.4725,0.5761,0.8445,0.4726,2.5181,10758,163.9436,2178,1.2046,-0.0997,0.22,0.15,23.8387,112
-0.7219,23.8404,1.8316,-0.4809,0.826,1.8317,-0.293,17954,193.6309,252,-1.041,1.4786,0.0353,-0.9706,84.1951,7
-0.6109,53.7193,-1.0907,-2.0645,-1.4173,-1.0906,-0.8406,9063,156.3466,736,0.7129,-2.073,0.086,-0.5869,97.3645,40
-2.4322,-2.3268,-1.1083,-0.3928,0.0785,-1.1082,2.2199,18414,196.3778,81,0.6918,-0.9769,0.0122,-1.072,0.0888,3
1.0721,37.9246,0.2356,0.7188,-1.642,0.2357,-0.5255,11323,167.1921,1976,-1.1263,0.5635,0.181,0.9354,23.8387,120
0.949,39.0575,-0.2453,-0.4438,0.5902,-0.2452,-0.2471,12283,174.3578,2100,0.2937,0.903,0.1887,-0.4192,23.8387,121
-0.552,9.7305,-0.1173,-1.3328,0.2517,-0.1172,0.1473,12802,173.1621,2346,-1.4483,0.461,0.2233,1.6726,14.0241,149
-0.1252,17.4538,-0.3898,-0.0508,1.176,-0.3897,-1.8151,8932,156.8155,2000,1.0164,0.1636,0.198,-0.1066,51.474,113
-0.3263,-8.8374,-0.2128,-0.8729,0.7348,-0.2127,-0.678,11055,166.0739,79,0.9905,0.1913,0.0125,2.4147,29.6369,4
-1.8509,19.3719,1.0223,0.1288,1.9844,1.0224,0.4001,10624,169.7364,76,0.497,1.2629,0.013,1.7924,29.6369,5
0.3208,-42.0185,-0.1934,-0.1303,-1.4096,-0.1933,-0.49,10432,163.436,264,0.2129,0.2474,0.0337,-0.7756,96.3795,15
1.1956,54.8307,0.2578,-0.7904,0.8812,0.2579,-0.4013,17954,191.1861,1235,-1.4185,-0.095,0.1354,-0.2555,42.6577,61
1.7756,15.2661,0.0851,1.0027,-1.013,0.0852,0.5877,13884,176.3072,1649,0.1365,-0.4726,0.1735,-0.592,67.4808,88
-1.1373,46.7015,-0.9108,-0.076,0.3951,-0.9107,-0.3737,17484,186.5061,1170,-1.1196,-0.0548,0.1429,1.2783,80.7973,60
0.2887,7.4068,1.1737,-0.7861,-0.2489,1.1738,0.9591,8932,154.5171,1462,1.3355,0.5069,0.1954,0.29,67.4808,75
-0.1086,23.4533,-0.6771,0.0775,0.7676,-0.677,-0.4096,12036,176.1969,2675,-0.565,0.7578,0.2315,1.122,14.0241,155
-1.5066,41.842,-1.0264,-2.9826,0.732,-1.0263,0.3107,20706,202.8277,528,-0.5215,0.6416,0.0674,0.1338,98.56,20
-1.2278,46.5799,0.1284,-1.182,0.1441,0.1285,0.6321,13224,172.662,2475,0.046,0.7401,0.25,0.7934,-5.9261,161
-1.5024,-4.2351,-0.7873,0.4727,0.7668,-0.7872,-2.3114,14742,185.6562,808,-0.8709,-0.5988,0.0784,-1.3933,99.155,38
1.3231,11.7793,0.0519,-1.8607,-1.1142,0.052,1.6622,14118,180.3324,2332,-0.2298,0.9863,0.2056,-1.4037,14.0241,124
-1.5239,20.5099,0.6553,0.6691,0.1973,0.6554,0.1233,13572,174.3866,1488,-0.2813,-0.8772,0.1702,-0.2979,51.474,79
0.3875,12.4476,-0.0023,-0.0552,0.335,-0.0022,-0.0945,16465,187.1581,1372,0.1599,0.2506,0.1414,0.6331,67.4808,85
1.9789,11.0357,-0.5841,0.4762,-1.1082,-0.584,-0.7984,17563,194.5627,2310,-1.4444,-0.262,0.2075,1.4851,14.0241,136
0.2653,25.4612,0.2981,1.5766,-0.9905,0.2982,0.7091,13475,178.1073,1372,-1.0997,0.712,0.1414,1.3596,51.474,86
-0.4148,14.6283,-0.5951,0.7427,-0.293,-0.595,1.6031,16280,184.2203,2575,1.587,1.2372,0.2404,0.4531,14.0241,150
-1.4248,15.1083,-0.5086,-0.0292,1.4142,-0.5085,-1.4896,8568,150.2651,837,0.753,0.7367,0.0957,0.1486,86.2761,44
-1.0751,33.8106,-0.8448,0.1541,0.4898,-0.8447,-0.2952,17017,190.4101,1302,0.5581,-0.7412,0.1489,1.1838,51.474,75
-0.9311,33.7892,-1.1906,0.2004,-0.8281,-1.1905,-0.2111,9263,155.7797,3161,-0.4849,-1.4222,0.2636,-0.3789,4.0693,182
-1.3608,50.109,0.3853,1.8456,-0.6595,0.3854,1.2802,11424,165.2335,3132,-0.2243,-1.0859,0.2661,-1.1116,-15.8623,183
-0.8971,36.1742,-1.1411,-1.0479,0.3577,-1.141,0.9801,9006,156.5363,2000,0.7892,-0.2254,0.198,0.1465,14.0241,116
-1.6411,55.5412,-0.5858,-0.0752,0.1839,-0.5857,-0.871,10899,172.8695,1034,0.1634,0.3402,0.1158,-1.3882,67.4808,61
3.6239,27.2136,2.6385,-0.9615,-0.25,2.6386,-1.8081,11088,170.4161,1649,0.4671,-0.028,0.1735,-1.0896,42.6577,93
-0.5022,14.7853,0.4557,0.1871,0.4242,0.4558,0.4015,17766,189.4166,1552,-1.1556,0.1774,0.1633,0.4787,51.474,86
-0.2552,22.5595,0.577,0.7651,1.1374,0.5771,-1.4934,18711,185.1489,1710,-0.8495,-1.3677,0.2088,1.9449,33.4151,115
0.2865,36.8156,0.0769,0.3406,1.8041,0.077,-1.4214,15824,184.0798,2678,-1.0717,0.6971,0.25,-1.5352,4.0693,155
0.5814,28.7339,1.8678,0.3156,1.293,1.8679,2.0288,10281,148.9465,528,2.1637,-1.7455,0.0674,1.5092,98.56,20
1.145,45.6467,0.3076,-1.2311,-1.5044,0.3077,0.4206,9540,160.7202,2121,0.9361,2.3051,0.2059,-2.0173,59.776,118
-1.3549,-9.2172,0.3732,1.0962,-0.341,0.3733,3.0322,10773,172.1939,492,-1.2201,-0.0356,0.0723,1.0864,99.155,22
-0.5929,7.5065,2.3356,0.9056,-0.0242,2.3357,-0.5986,13832,182.745,630,0.1764,1.0722,0.0769,0.5377,98.56,36
1.1927,11.6455,-0.9653,-0.7772,-1.1796,-0.9652,-1.3894,15895,184.7725,1957,0.3352,0.2868,0.1827,-0.1091,51.474,114
2.2514,0.4299,-0.1791,0.9191,-1.9613,-0.179,-0.6334,11524,169.5678,528,0.4566,0.5929,0.0674,-1.057,98.56,24
1.3801,14.7749,-0.3286,-0.5673,-0.3043,-0.3285,-0.1875,14220,178.4479,837,-0.224,-0.1721,0.0957,0.7069,86.2761,42
1.2561,36.1489,-0.4927,0.3513,-1.0127,-0.4926,0.6577,10790,167.1003,940,0.4987,0.4169,0.1053,0.2989,80.7973,58
1.2864,26.4982,0.181,-0.1393,0.1969,0.1811,0.7382,13416,171.7834,2997,0.9452,0.389,0.2411,0.6163,14.0241,215
-1.3839,-2.0382,0.0374,-1.6534,0.7936,0.0375,-0.4036,10458,166.7728,1880,0.5779,0.0821,0.2105,-0.0533,23.8387,103
1.1352,2.9187,0.8481,-0.2908,0.0757,0.8482,0.3561,18240,192.5192,324,-1.1258,0.61,0.0488,-0.9025,89.161,13
-1.1992,6.5243,-0.1074,0.6698,-0.7021,-0.1073,0.3066,18048,186.5596,602,-1.5001,0.1125,0.0805,1.4621,97.3645,31
1.4328,-18.7729,-0.3326,0.5322,1.4757,-0.3325,-0.4261,10496,165.2011,1001,-0.361,-0.6417,0.1196,-1.0562,86.2761,52
-0.0408,13.6274,0.1556,0.1709,1.6816,0.1557,-0.0205,18236,194.9674,1380,-0.4415,-0.1446,0.1613,0.1184,23.8387,72
-0.952,12.8276,0.0838,0.6397,-1.6502,0.0839,0.3157,16008,183.5143,819,1.1333,-0.9081,0.0978,-0.2289,97.3645,36
0.2395,-0.3129,-0.4942,-1.0948,0.9807,-0.4941,1.2216,11524,171.2501,2121,1.134,-0.6167,0.2059,0.5736,23.8387,126
1.656,16.728,-0.6654,-1.4644,-1.4673,-0.6653,0.2057,14499,174.6349,1656,2.1204,-1.2742,0.1935,-0.5237,59.776,92
0.8753,18.0314,0.2675,0.0775,0.3379,0.2676,-0.1616,10106,162.0919,776,0.8484,0.091,0.0816,-0.8044,97.3645,43
-0.6872,9.8456,-1.3636,0.5851,0.3003,-1.3635,-0.2574,9360,154.5042,1881,-1.0186,-0.1128,0.19,0.752,33.4151,119
0.6954,20.0357,0.1263,1.055,0.347,0.1264,1.4161,8532,157.7956,1248,-0.9847,-1.3609,0.1143,-0.9821,80.7973,76
0.8105,-3.0075,0.834,1.5018,0.1896,0.8341,0.2059,9660,161.3259,1456,-0.2503,0.1757,0.1739,-1.8074,51.474,77
-0.1887,28.556,1.9398,0.345,0.4016,1.9399,-0.2364,18528,193.789,2121,-0.8172,-0.5219,0.2059,0.8605,42.6577,139
0.2349,50.2708,-0.3738,-0.5623,0.4963,-0.3737,0.4553,10465,160.5058,930,0.908,0.6283,0.1064,1.7043,80.7973,55
-2.4148,-3.8592,0.6368,-0.2671,-0.0975,0.6369,0.0834,16720,190.6778,255,1.7958,0.5402,0.0349,1.1923,84.1951,12
-0.1846,23.5749,-0.3792,-0.0865,1.4384,-0.3791,0.5924,16016,183.1784,1425,0.2533,-0.2121,0.1562,0.5554,59.776,81
-0.5348,17.7083,-0.4546,-0.0736,1.5143,-0.4545,0.3832,13840,168.5504,819,-0.1399,-0.1478,0.0978,-0.8366,99.9547,43
0.6894,-2.4012,0.981,0.4969,-0.5543,0.9811,2.6726,10521,165.9303,2808,-0.4512,-0.3991,0.2571,-1.6536,-5.9261,160
-1.2144,7.5648,-0.5225,-1.1036,-1.0097,-0.5224,-1.1792,11937,174.242,154,0.6204,0.5882,0.0256,-1.2339,64.4897,4
